File Name,Lines*,Statements,Percent Branch Statements,Method Call Statements,Percent Lines with Comments,Classes and Interfaces,Methods per Class,Average Statements per Method,Line Number of Most Complex Method*,Name of Most Complex Method*,Maximum Complexity*,Line Number of Deepest Block,Maximum Block Depth,Average Block Depth,Average Complexity*,Statements at block level 0,Statements at block level 1,Statements at block level 2,Statements at block level 3,Statements at block level 4,Statements at block level 5,Statements at block level 6,Statements at block level 7,Statements at block level 8,Statements at block level 9,commit_count,commiter_count,numberOfReportedBugs
src/main/java/org/apache/commons/math/analysis/function/Identity.java,34,7,0/0,1,23/5,1,2/00,1/00,30,Identity.derivative(),1,31,2,0/86,1/00,3,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Inverse.java,40,9,0/0,2,22/5,1,2/00,1/00,31,Inverse.derivative(),1,32,2,0/67,1/00,5,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Log.java,41,10,0/0,3,22/0,1,2/00,1/00,32,Log.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Log10.java,43,11,0/0,4,23/3,1,2/00,1/00,35,Log10.derivative(),1,36,2,0/64,1/00,6,3,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Log1p.java,41,10,0/0,3,22/0,1,2/00,1/00,32,Log1p.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Logistic.java,193,62,8/1,23,43/5,2,2/50,4/20,178,Parametric.validateParameters(),4,69,3,1/52,2/25,12,11,34,5,0,0,0,0,0,0,8,3,0
src/main/java/org/apache/commons/math/analysis/function/Logit.java,144,37,8/1,14,48/6,2,3/00,2/00,133,Parametric.validateParameters(),3,135,3,1/16,1/40,12,9,14,2,0,0,0,0,0,0,6,3,0
src/main/java/org/apache/commons/math/analysis/function/Max.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Max.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Min.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Min.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Minus.java,34,7,0/0,1,23/5,1,2/00,1/00,30,Minus.derivative(),1,31,2,0/86,1/00,3,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Multiply.java,30,5,0/0,0,23/3,1,1/00,1/00,30,Multiply.value(),1,31,2,0/60,1/00,3,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/package-info.java,26,1,0/0,0,0/0,0,0/00,0/00,,,0,26,0,0/00,0/00,1,0,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/function/Pow.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Pow.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Power.java,49,13,0/0,4,26/5,1,3/00,1/00,37,Power.derivative(),1,38,2,0/77,1/00,6,4,3,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Rint.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Rint.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Sigmoid.java,147,37,8/1,16,49/7,2,3/00,3/67,139,Parametric.validateParameters(),3,71,3,1/22,1/75,12,8,14,3,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/function/Signum.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Signum.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Sin.java,35,8,0/0,2,22/9,1,2/00,1/00,31,Sin.derivative(),1,32,2,0/75,1/00,4,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Sinc.java,108,29,13/8,14,42/6,1,6/00,2/17,63,Sinc.value(),3,65,3,1/21,1/75,9,10,5,5,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/function/Sinh.java,35,8,0/0,2,22/9,1,2/00,1/00,31,Sinh.derivative(),1,32,2,0/75,1/00,4,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Sqrt.java,41,10,0/0,4,22/0,1,2/00,1/00,32,Sqrt.derivative(),1,33,2,0/60,1/00,6,2,2,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/StepFunction.java,90,30,20/0,7,37/8,1,2/00,9/00,60,StepFunction.StepFunction(),6,64,3,1/53,5/00,8,4,12,6,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/function/Subtract.java,30,5,0/0,0,23/3,1,1/00,1/00,30,Subtract.value(),1,31,2,0/60,1/00,3,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/function/Tan.java,42,11,0/0,4,21/4,1,2/00,1/50,32,Tan.derivative(),1,33,2,0/73,1/00,6,2,3,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Tanh.java,42,11,0/0,4,21/4,1,2/00,1/50,32,Tanh.derivative(),1,33,2,0/73,1/00,6,2,3,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/function/Ulp.java,31,6,0/0,1,22/6,1,1/00,1/00,31,Ulp.value(),1,32,2,0/50,1/00,4,1,1,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/FunctionUtils.java,277,75,16/0,62,38/6,2,4/00,7/63,32,FunctionUtils.FunctionUtils(),1,270,6,1/18,1/00,20,32,18,4,1,0,1,0,0,0,11,3,0
src/main/java/org/apache/commons/math/analysis/integration/LegendreGaussIntegrator.java,227,67,22/4,44,34/8,1,5/00,8/60,198,LegendreGaussIntegrator.doIntegrate(),4,143,4,2/19,2/20,9,15,12,16,15,0,0,0,0,0,23,3,0
src/main/java/org/apache/commons/math/analysis/integration/package-info.java,22,1,0/0,0,0/0,0,0/00,0/00,,,0,22,0,0/00,0/00,1,0,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/integration/RombergIntegrator.java,129,45,13/3,17,36/4,1,4/00,8/00,102,RombergIntegrator.doIntegrate(),6,135,5,2/13,2/75,8,5,13,12,6,1,0,0,0,0,22,3,0
src/main/java/org/apache/commons/math/analysis/integration/SimpsonIntegrator.java,119,36,16/7,16,37/8,1,4/00,5/75,101,SimpsonIntegrator.doIntegrate(),6,121,5,1/92,2/75,8,5,10,9,3,1,0,0,0,0,23,3,0
src/main/java/org/apache/commons/math/analysis/integration/TrapezoidIntegrator.java,151,47,17/0,16,41/7,1,5/00,6/40,142,TrapezoidIntegrator.doIntegrate(),5,155,5,2/13,2/80,8,7,10,16,5,1,0,0,0,0,24,3,0
src/main/java/org/apache/commons/math/analysis/integration/UnivariateRealIntegrator.java,83,14,0/0,0,59/0,1,7/00,0/00,,,0,37,1,0/50,0/00,7,7,0,0,0,0,0,0,0,0,16,3,0
src/main/java/org/apache/commons/math/analysis/integration/UnivariateRealIntegratorImpl.java,230,70,4/3,22,48/3,1,12/00,2/75,109,UnivariateRealIntegratorImpl.UnivariateRealIntegratorImpl(),3,121,3,1/36,1/25,12,25,29,4,0,0,0,0,0,0,25,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/BicubicSplineInterpolatingFunction.java,485,187,8/0,94,33/4,5,2/60,12/62,91,BicubicSplineInterpolatingFunction.BicubicSplineInterpolatingFunction(),9,533,9+,2/28,9/00,20,44,74,21,8,7,7,6,0,3,24,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/BicubicSplineInterpolator.java,129,51,3/9,36,27/9,1,1/00,43/00,,,0,40,3,1/75,0/00,7,1,41,2,0,0,0,0,0,0,12,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/BivariateRealGridInterpolator.java,43,4,0/0,0,48/8,1,1/00,0/00,,,0,44,1,0/25,0/00,3,1,0,0,0,0,0,0,0,0,6,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/DividedDifferenceInterpolator.java,106,24,8/3,8,57/5,1,2/00,8/00,97,DividedDifferenceInterpolator.computeDividedDifference(),3,107,4,1/71,2/00,5,3,12,2,2,0,0,0,0,0,10,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/LinearInterpolator.java,66,25,16/0,8,27/3,1,1/00,16/00,43,LinearInterpolator.interpolate(),5,45,3,1/56,5/00,8,1,10,6,0,0,0,0,0,0,12,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/LoessInterpolator.java,410,142,17/6,37,51/7,1,10/00,11/10,204,LoessInterpolator.smooth(),19,258,5,2/60,3/80,14,17,44,22,27,18,0,0,0,0,24,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/MicrosphereInterpolatingFunction.java,222,82,18/3,33,41/0,2,4/50,5/67,146,MicrosphereInterpolatingFunction.MicrosphereInterpolatingFunction(),10,105,4,2/07,2/78,14,8,27,24,9,0,0,0,0,0,16,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/MicrosphereInterpolator.java,89,22,9/1,5,42/7,1,3/00,3/00,70,MicrosphereInterpolator.MicrosphereInterpolator(),3,73,3,1/23,1/67,6,7,7,2,0,0,0,0,0,0,13,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/MultivariateRealInterpolator.java,47,4,0/0,0,55/3,1,1/00,0/00,,,0,49,1,0/25,0/00,3,1,0,0,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/NevilleInterpolator.java,52,7,0/0,1,50/0,1,1/00,1/00,54,NevilleInterpolator.interpolate(),1,55,2,0/57,1/00,4,2,1,0,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/package-info.java,22,1,0/0,0,0/0,0,0/00,0/00,,,0,22,0,0/00,0/00,1,0,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/SmoothingPolynomialBicubicSplineInterpolator.java,123,51,11/8,30,26/8,1,3/00,1/33,44,SmoothingPolynomialBicubicSplineInterpolator.SmoothingPolynomialBicubicSplineInterpolator(),1,86,4,1/77,1/00,8,6,30,6,2,0,0,0,0,0,13,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/SplineInterpolator.java,113,45,13/3,13,37/2,1,1/00,36/00,67,SplineInterpolator.interpolate(),7,69,3,1/93,7/00,8,1,22,14,0,0,0,0,0,0,14,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/TricubicSplineInterpolatingFunction.java,446,121,11/6,80,27/1,2,1/50,28/33,145,TricubicSplineInterpolatingFunction.TricubicSplineInterpolatingFunction(),14,161,3,1/43,14/00,31,18,62,11,0,0,0,0,0,0,10,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/TricubicSplineInterpolator.java,178,82,2/4,58,20/2,1,1/00,16/00,34,TricubicSplineInterpolator.interpolate(),6,39,3,1/16,6/00,5,61,14,2,0,0,0,0,0,0,10,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/TrivariateRealGridInterpolator.java,46,4,0/0,0,52/2,1,1/00,0/00,,,0,47,1,0/25,0/00,3,1,0,0,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/UnivariateRealInterpolator.java,36,4,0/0,0,41/7,1,1/00,0/00,,,0,37,1,0/25,0/00,3,1,0,0,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/interpolation/UnivariateRealPeriodicInterpolator.java,110,39,7/7,14,36/4,1,3/00,8/33,83,UnivariateRealPeriodicInterpolator.interpolate(),4,86,3,1/72,2/00,7,7,15,10,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/MultivariateFunction.java,40,3,0/0,0,50/0,1,1/00,0/00,,,0,42,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/analysis/MultivariateMatrixFunction.java,32,3,0/0,0,34/4,1,1/00,0/00,,,0,34,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/MultivariateVectorFunction.java,32,3,0/0,0,34/4,1,1/00,0/00,,,0,34,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/analysis/package-info.java,33,1,0/0,0,0/0,0,0/00,0/00,,,0,33,0,0/00,0/00,1,0,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/ParametricUnivariateFunction.java,42,4,0/0,0,50/0,1,2/00,0/00,,,0,35,1,0/50,0/00,2,2,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/analysis/polynomials/package-info.java,23,1,0/0,0,0/0,0,0/00,0/00,,,0,23,0,0/00,0/00,1,0,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunction.java,358,140,23/6,58,38/8,2,8/00,6/38,286,PolynomialFunction.toString(),13,300,6,2/28,3/06,12,19,61,27,11,7,3,0,0,0,21,3,0
src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunctionLagrangeForm.java,301,108,16/7,34,50/5,1,10/00,8/60,253,PolynomialFunctionLagrangeForm.computeCoefficients(),8,277,5,2/24,2/80,8,14,47,23,15,1,0,0,0,0,22,3,0
src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialFunctionNewtonForm.java,203,58,12/1,18,54/2,1,9/00,4/33,179,PolynomialFunctionNewtonForm.verifyInputArray(),4,190,4,1/72,1/89,6,13,31,7,1,0,0,0,0,0,16,3,0
src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialSplineFunction.java,194,53,13/2,19,55/7,1,7/00,4/57,100,PolynomialSplineFunction.value(),5,103,3,1/53,2/29,11,10,25,7,0,0,0,0,0,0,13,3,0
src/main/java/org/apache/commons/math/analysis/polynomials/PolynomialsUtils.java,382,114,0/9,86,46/3,6,1/00,13/00,89,createChebyshevPolynomial().createHermitePolynomial(),1,108,3,0/97,1/00,60,15,32,12,0,0,0,0,0,0,14,3,0
src/main/java/org/apache/commons/math/analysis/solvers/AbstractDifferentiableUnivariateRealSolver.java,73,15,0/0,6,42/5,1,4/00,1/50,41,AbstractDifferentiableUnivariateRealSolver.setup(),1,42,2,1/13,1/00,4,5,6,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/solvers/AbstractPolynomialSolver.java,75,15,0/0,5,41/3,1,5/00,1/20,39,AbstractPolynomialSolver.getCoefficients(),1,40,2,1/20,1/00,3,6,6,0,0,0,0,0,0,0,5,3,0
src/main/java/org/apache/commons/math/analysis/solvers/AbstractUnivariateRealSolver.java,58,9,0/0,3,41/4,1,3/00,1/00,36,AbstractUnivariateRealSolver.AbstractUnivariateRealSolver(),1,37,2,1/00,1/00,3,3,3,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/solvers/AllowedSolution.java,68,3,0/0,0,64/7,1,0/00,0/00,,,0,74,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/solvers/BaseAbstractUnivariateRealSolver.java,278,76,1/3,23,51/1,1,22/00,1/59,292,BaseAbstractUnivariateRealSolver<FUNC extends UnivariateFunction>.incrementEvaluationCount(),2,294,3,1/38,1/05,8,33,33,2,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java,246,105,45/7,23,34/1,2,3/50,12/43,130,BaseSecantSolver.doSolve(),17,191,7,3/62,3/29,6,11,26,11,4,19,23,5,0,0,15,3,3
src/main/java/org/apache/commons/math/analysis/solvers/BaseUnivariateRealSolver.java,129,11,0/0,0,78/3,1,8/00,0/00,,,0,44,1,0/73,0/00,3,8,0,0,0,0,0,0,0,0,11,3,0
src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java,83,29,13/8,12,33/7,1,4/00,5/25,62,BisectionSolver.doSolve(),5,78,4,2/10,2/00,3,5,11,6,4,0,0,0,0,0,18,3,1
src/main/java/org/apache/commons/math/analysis/solvers/BracketedUnivariateRealSolver.java,87,5,0/0,0,71/3,1,2/00,0/00,,,0,69,1,0/40,0/00,3,2,0,0,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/solvers/BracketingNthOrderBrentSolver.java,345,165,25/5,47,33/3,1,9/00,15/78,143,BracketingNthOrderBrentSolver.doSolve(),29,216,6,2/93,4/78,8,15,46,37,38,13,8,0,0,0,7,3,1
src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java,210,97,20/6,32,31/9,1,6/00,14/17,137,BrentSolver.brent(),22,182,5,2/91,5/33,5,7,29,18,27,11,0,0,0,0,31,3,2
src/main/java/org/apache/commons/math/analysis/solvers/DifferentiableUnivariateRealSolver.java,26,3,0/0,0,23/1,1,0/00,0/00,,,0,17,0,0/00,0/00,3,0,0,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/solvers/IllinoisSolver.java,76,10,0/0,4,55/3,1,4/00,1/00,47,IllinoisSolver.IllinoisSolver(),1,48,2,1/20,1/00,2,4,4,0,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/solvers/LaguerreSolver.java,303,131,17/6,86,37/3,3,3/00,12/33,88,LaguerreSolver.laguerre(),6,315,6,2/95,3/13,8,10,28,40,31,10,5,0,0,0,25,3,0
src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver.java,178,75,14/7,34,39/3,1,5/00,13/20,122,MullerSolver.solve(),9,184,5,2/65,3/60,3,6,28,19,15,4,0,0,0,0,20,3,0
src/main/java/org/apache/commons/math/analysis/solvers/MullerSolver2.java,150,63,15/9,26,36/7,1,4/00,13/50,82,MullerSolver2.doSolve(),14,138,5,2/51,4/25,4,5,20,24,9,1,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/solvers/NewtonSolver.java,80,21,9/5,9,41/2,1,4/00,3/00,73,NewtonSolver.doSolve(),3,82,4,1/62,1/50,4,5,8,3,1,0,0,0,0,0,22,3,0
src/main/java/org/apache/commons/math/analysis/solvers/package-info.java,22,1,0/0,0,0/0,0,0/00,0/00,,,0,22,0,0/00,0/00,1,0,0,0,0,0,0,0,0,0,3,3,0
src/main/java/org/apache/commons/math/analysis/solvers/PegasusSolver.java,79,10,0/0,4,57/0,1,4/00,1/00,49,PegasusSolver.PegasusSolver(),1,50,2,1/20,1/00,2,4,4,0,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/analysis/solvers/PolynomialSolver.java,27,3,0/0,0,25/9,1,0/00,0/00,,,0,17,0,0/00,0/00,3,0,0,0,0,0,0,0,0,0,4,3,0
src/main/java/org/apache/commons/math/analysis/solvers/RegulaFalsiSolver.java,89,10,0/0,4,61/8,1,4/00,1/00,59,RegulaFalsiSolver.RegulaFalsiSolver(),1,60,2,1/20,1/00,2,4,4,0,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/solvers/RiddersSolver.java,130,59,20/3,25,32/3,1,4/00,12/75,66,RiddersSolver.doSolve(),13,117,5,2/92,4/00,3,5,17,15,7,12,0,0,0,0,18,3,0
src/main/java/org/apache/commons/math/analysis/solvers/SecantSolver.java,115,36,16/7,16,43/5,1,4/00,7/00,73,SecantSolver.doSolve(),7,108,4,2/17,2/50,3,5,14,11,3,0,0,0,0,0,23,3,0
src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolver.java,26,3,0/0,0,23/1,1,0/00,0/00,,,0,17,0,0/00,0/00,3,0,0,0,0,0,0,0,0,0,17,3,0
src/main/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java,354,95,20/0,48,50/3,1,9/00,8/56,94,UnivariateRealSolverUtils.forceSide(),16,125,5,2/33,4/38,9,9,40,20,13,4,0,0,0,0,26,3,1
src/main/java/org/apache/commons/math/analysis/TrivariateRealFunction.java,34,3,0/0,0,41/2,1,1/00,0/00,,,0,35,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,9,3,0
src/main/java/org/apache/commons/math/analysis/UnivariateFunction.java,81,3,0/0,0,75/3,1,1/00,0/00,,,0,81,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/analysis/UnivariateMatrixFunction.java,31,3,0/0,0,35/5,1,1/00,0/00,,,0,32,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,10,3,0
src/main/java/org/apache/commons/math/analysis/UnivariateVectorFunction.java,31,3,0/0,0,35/5,1,1/00,0/00,,,0,32,1,0/33,0/00,2,1,0,0,0,0,0,0,0,0,2,3,0
src/main/java/org/apache/commons/math/complex/Complex.java,1136,257,22/2,164,64/2,1,44/00,4/36,246,Complex.divide(),9,124,4,2/02,2/75,11,54,116,72,4,0,0,0,0,0,37,3,4
src/main/java/org/apache/commons/math/complex/ComplexField.java,71,19,0/0,1,39/4,2,3/00,0/83,41,ComplexField.readResolve(),1,48,2,1/05,1/00,5,8,6,0,0,0,0,0,0,0,7,3,0
src/main/java/org/apache/commons/math/complex/ComplexFormat.java,354,104,3/8,107,45/5,1,8/00,2/25,112,ComplexFormat.ComplexFormat(),5,116,3,1/08,1/50,14,73,14,4,0,0,0,0,0,0,16,3,1
